DIP编码,DIP名称,权重,DIP住院费用,DIP收入,DIP结余,结余率(%),预计结算点数,入组病例数,高倍率病例数,低倍率病例数,超支病例,服务性收入
G45.0,椎基底动脉综合征,0.492,13041231.86,9216984.424,-3824247.436,-0.293242807,704897.7715,1481,64,135,1403,1986598.77
Z51.1:99.2503,为肿瘤化学治疗疗程:静脉注射化疗药物,0.751,17668989.23,13891313.32,-3777675.913,-0.213802604,1174973.34,1286,273,50,1067,1980619.95
I63.9,未特指的脑梗死,0.572,5885360.25,3970719.895,-1914640.355,-0.325322542,237736.7418,345,59,16,330,1146167.57
Z51.8,其他特指的医疗照顾,0.662,8955435.98,7095195.165,-1860240.815,-0.207721971,586505.7601,826,106,163,637,895220.53
I20.0,不稳定性心绞痛,0.576,8685527.39,6950744.109,-1734783.281,-0.199732636,606692.8311,1047,49,44,824,1207612.2
Z51.0,放射治疗疗程,2.904,6328137.17,4814047.829,-1514089.341,-0.239263041,420071.6867,117,31,3,102,3787752.73
I67.8,其他特指的脑血管疾病,0.365,3014644.36,1940825.11,-1073819.25,-0.356200971,124591.2585,304,61,7,298,489426.11
J15.9,未特指的细菌性肺炎,0.644,4127066.6,3168061.447,-959005.1528,-0.232369682,264780.6385,417,39,74,334,874639.84
K63.5:45.4201,结肠息肉:内镜下乙状结肠息肉切除术,0.722,5273580.95,4555024.478,-718556.4721,-0.136255891,408250.8868,566,4,2,426,1373140.49
Z51.8:99.2503,其他特指的医疗照顾:静脉注射化疗药物,0.94,2723395.4,2019495.733,-703899.6674,-0.258464,160223.9771,118,32,0,103,338997.63
Z51.0:99.2503,放射治疗疗程:静脉注射化疗药物,3.387,3235491.66,2536800.28,-698691.3802,-0.215945969,211311.517,37,24,0,35,1878352.77
J20.9,未特指的急性支气管炎,0.237,2576962.56,1904323.511,-672639.0493,-0.261020109,135458.7091,460,115,11,422,519762.42
Z51.5,姑息性医疗,0.684,4069693.33,3400385.956,-669307.3736,-0.164461378,296747.6734,366,48,39,266,789969.77
Z51:ZLXCZ,其他医疗照顾:治疗性操作,2.446,7459087.49,6814813.089,-644274.4007,-0.086374426,509260.4934,113,52,13,83,4513354
I10.X,特发性(原发性)高血压,0.369,1773154.74,1202159.924,-570994.816,-0.322021989,87479.94356,234,13,6,222,234673.59
